结果编号,更新时间,持续时间,枇杷,油菜,柃木,果梅,五倍子,苦槠,栾树,冬青,数据来源（预测/推测）,备注
1,2026.3.25,2026.3.25-2026.3.26,0,3,0,0,0,0,0,0,预测,对应已知原始5级结果0:5:0:0:0:0:0:0，统一转写为3级0:3:0:0:0:0:0:0
2,2026.3.27,2026.3.27-2026.3.27,0,2,0,0,0,0,0,0,预测,数据库规则模型结果，油菜由高降为中
3,2026.3.28,2026.3.28-2026.3.29,0,3,0,0,0,0,0,0,预测,数据库规则模型结果
4,2026.3.30,2026.3.30-2026.3.31,0,2,0,0,0,0,0,0,预测,数据库规则模型结果，油菜进入花期尾段
5,2026.4.1,2026.4.1-2026.4.1,0,3,0,0,0,0,0,0,预测,数据库规则模型结果，油菜仍是主要蜜源
6,2026.4.2,2026.4.2-2026.4.2,0,0,0,0,0,3,0,0,预测,数据库规则模型结果，苦槠开始接替
7,2026.4.3,2026.4.3-2026.4.3,0,0,0,0,0,1,0,0,预测,QWeather 7日天气接入后的规则推演，受强降雨影响苦槠暂降为低
8,2026.4.4,2026.4.4-2026.4.6,0,0,0,0,0,3,0,0,预测,QWeather 7日天气接入后的规则推演，天气恢复后苦槠回到高位
9,2026.4.7,2026.4.7-2026.4.7,0,0,0,0,0,2,0,0,预测,QWeather 7日天气接入后的规则推演，降雨使苦槠短时回落到中
10,2026.4.8,2026.4.8-2026.4.19,0,0,0,0,0,3,0,0,推测,依据库内花期窗口、物种蜜源等级与典型春末天气规则推测
11,2026.4.20,2026.4.20-2026.5.20,0,0,0,0,0,3,0,3,推测,苦槠与冬青重叠开花，为主要双源期
12,2026.5.21,2026.5.21-2026.5.30,0,0,0,0,0,0,0,3,推测,苦槠退出后冬青维持主要蜜源
13,2026.5.31,2026.5.31-2026.6.20,0,0,0,0,0,0,0,0,推测,按当前库内8种植物花期窗口进入蜜源空档
